,Coarse,Clay,Sand,Silt,pH(H2O),EC,OC,CaCO3,N,P,K
12732,,,,,6.26,15.36,26.0,0,2.1,1.6,176.3
12776,,,,,6.39,11.92,24.3,0,2.6,49.4,42.0
12783,,,,,6.01,13.94,9.8,0,1.2,25.9,167.2
12809,,,,,6.22,22.9,14.2,0,1.9,23.5,72.7
12815,,,,,6.47,28.9,12.5,0,1.6,22.3,80.9
12827,,,,,6.07,28.6,16.6,0,2.1,41.1,123.7
12835,,,,,6.45,38.8,44.6,0,4.4,21.6,211.2
12840,,,,,6.07,14.76,8.7,1,1.2,22.8,80.1
12861,,,,,6.25,17.62,13.9,0,1.8,45.3,169.7
12882,,,,,6.41,19.5,9.8,0,1.3,47.8,166.6
12890,,,,,6.0,15.51,13.6,0,1.6,38.4,162.9
12901,,,,,6.5,10.9,16.8,0,2.0,65.0,176.6
12905,,,,,6.09,30.4,19.5,1,2.0,23.7,61.1
12913,,,,,6.45,36.6,33.2,1,3.9,12.3,486.5
12915,,,,,6.45,60.2,16.5,2,2.1,43.7,465.2
12917,,,,,6.19,10.93,12.3,0,1.5,18.9,140.7
12918,,,,,6.35,15.11,15.7,1,1.8,47.5,128.1
12956,,,,,6.05,10.06,20.8,0,2.1,25.2,261.3
12972,,,,,6.47,21.1,8.3,2,1.1,33.5,193.1
12975,,,,,6.43,15.38,35.3,0,3.5,43.7,88.7
12977,,,,,6.25,24.2,20.0,1,2.4,27.7,83.8
12985,,,,,6.02,12.07,11.3,0,1.4,53.9,181.5
12996,,,,,6.31,26.2,26.9,1,2.6,33.4,133.7
13000,,,,,6.12,29.3,29.4,1,2.7,21.1,210.7
13005,,,,,6.33,76.0,47.3,1,4.9,85.1,624.9
13009,,,,,6.2,23.1,15.5,0,2.1,25.4,115.6
13018,,,,,6.07,10.63,14.2,0,1.8,34.8,109.5
13021,,,,,6.37,17.68,29.8,0,3.2,71.4,484.0
13023,,,,,6.29,21.0,20.8,0,2.6,26.9,138.5
13031,,,,,6.3,25.4,23.8,0,3.1,54.1,762.6
13033,,,,,6.02,17.72,26.8,0,2.8,86.6,220.3
13044,,,,,6.07,14.08,30.9,0,2.9,6.5,161.6
13053,,,,,6.11,17.24,41.7,1,4.7,17.7,217.2
13061,,,,,6.25,13.42,11.7,1,1.4,19.2,207.1
13069,,,,,6.47,27.3,19.2,1,2.1,20.8,161.3
13074,,,,,6.39,17.8,13.1,0,1.5,26.4,228.0
13104,,,,,6.36,24.0,12.6,0,1.4,26.0,81.0
13113,,,,,6.22,22.7,48.5,0,5.3,31.3,214.6
13115,,,,,6.43,10.9,12.7,0,1.6,41.0,205.3
13117,,,,,6.43,22.2,26.2,0,3.0,22.8,226.4
13136,,,,,6.17,11.59,11.3,0,1.3,26.9,153.3
13144,,,,,6.24,60.3,42.7,0,4.8,22.7,108.5
13160,,,,,6.21,27.1,18.8,0,2.4,37.9,121.5
13168,,,,,6.5,22.9,17.2,0,2.1,35.2,141.9
13170,,,,,6.32,50.7,22.1,1,2.8,46.3,177.9
13189,,,,,6.46,13.06,36.1,1,3.6,60.8,477.1
13196,,,,,6.21,16.27,12.6,0,1.7,17.7,68.0
13202,,,,,6.09,24.2,17.7,0,2.1,46.3,206.9
13210,,,,,6.06,14.18,83.7,0,6.2,9.0,369.2
13214,,,,,6.23,36.3,81.7,2,4.9,9.1,300.0
13219,,,,,6.09,12.93,15.2,0,1.8,13.3,81.8
13225,,,,,6.05,29.0,33.1,1,3.9,20.8,96.5
13314,,,,,6.24,20.1,10.0,0,1.4,66.7,217.7
13337,,,,,6.34,30.1,21.9,0,2.9,13.3,132.2
13347,,,,,6.34,13.26,20.7,0,1.9,72.3,463.4
13348,,,,,6.11,13.48,29.9,0,2.8,14.4,265.3
13360,,,,,6.16,37.2,13.0,0,2.0,55.9,188.1
13369,,,,,6.18,15.06,10.7,0,1.3,41.7,99.8
13372,,,,,6.37,24.0,17.5,0,2.3,40.8,122.1
13390,,,,,6.16,18.11,55.6,1,3.4,17.3,360.1
13395,,,,,6.31,12.89,20.3,1,2.2,33.5,264.8
13397,,,,,6.05,12.88,7.6,0,1.2,40.4,78.1
13402,,,,,6.38,14.69,11.0,0,1.4,65.4,247.4
13409,,,,,6.31,13.71,8.6,1,1.0,59.5,204.1
13413,,,,,6.46,25.6,68.5,1,7.3,54.2,250.6
13415,,,,,6.5,15.85,9.1,0,1.1,33.5,161.5
13424,,,,,6.44,17.45,9.8,0,1.4,36.1,120.1
13432,,,,,6.16,20.1,12.0,0,1.6,14.7,140.1
13435,,,,,6.5,18.06,17.1,0,2.0,40.6,140.9
13465,,,,,6.08,44.7,29.3,1,3.5,155.8,647.7
13471,,,,,6.39,21.3,10.5,0,1.5,59.3,150.8
13492,,,,,6.44,12.88,17.0,0,2.2,18.9,121.9
13493,,,,,6.24,78.6,46.7,3,5.9,67.2,128.7
13502,,,,,6.2,26.4,10.4,0,1.4,58.6,366.2
13534,,,,,6.09,31.3,21.8,0,2.2,19.7,187.8
13536,,,,,6.39,21.3,13.3,0,1.6,36.2,138.8
13541,,,,,6.5,27.3,21.8,0,2.6,17.8,127.2
13542,,,,,6.13,26.5,19.6,0,2.6,47.4,182.1
13545,,,,,6.02,23.1,11.6,0,1.6,37.0,99.4
13555,,,,,6.33,22.8,12.7,0,1.7,34.4,177.8
13556,,,,,6.2,42.0,12.4,1,1.8,55.1,236.8
