,Coarse,Clay,Sand,Silt,pH(H2O),EC,OC,CaCO3,N,P,K
784,44.0,20.0,25.0,55.0,6.93,31.7,125.2,20,9.2,22.9,463.1
787,36.0,30.0,11.0,60.0,7.04,24.0,23.8,10,3.1,3.5,102.8
788,12.0,42.0,15.0,44.0,7.0,13.5,16.7,0,1.7,5.7,197.3
789,12.0,26.0,50.0,24.0,6.9,24.9,10.3,1,1.1,45.0,488.3
794,45.0,10.0,45.0,45.0,6.64,24.3,31.3,1,2.9,6.6,55.1
805,6.0,27.0,20.0,53.0,7.14,54.8,23.7,18,2.3,12.7,161.2
808,2.0,20.0,23.0,57.0,6.7,36.4,22.9,2,2.2,6.6,42.4
809,9.0,26.0,13.0,61.0,6.57,23.2,21.2,2,2.3,0.0,46.8
813,17.0,23.0,18.0,59.0,7.4,37.4,36.2,177,3.3,7.8,232.0
814,5.0,28.0,10.0,62.0,7.5,38.7,12.8,114,1.8,8.3,188.4
825,41.0,6.0,50.0,44.0,7.22,50.2,23.1,13,2.5,20.2,24.6
826,45.0,15.0,46.0,38.0,7.5,23.7,29.8,87,2.6,179.0,241.6
827,3.0,24.0,14.0,62.0,6.56,37.6,33.3,1,3.6,9.4,63.9
830,23.0,24.0,19.0,57.0,7.46,59.2,65.1,280,5.1,7.1,262.6
831,86.0,9.0,40.0,51.0,7.2,79.1,151.1,366,9.6,13.2,148.2
838,19.0,14.0,43.0,43.0,7.18,78.8,83.3,301,6.1,14.8,88.5
843,14.0,22.0,18.0,60.0,7.03,67.4,36.4,12,4.1,10.0,230.8
844,7.0,20.0,30.0,50.0,7.45,52.8,37.5,160,3.5,115.1,528.0
847,23.0,18.0,51.0,31.0,7.45,32.5,12.9,3,1.7,50.0,245.2
850,6.0,16.0,47.0,38.0,7.4,58.1,34.9,55,3.2,10.3,109.2
851,6.0,15.0,26.0,59.0,7.24,58.8,59.3,49,4.4,8.6,53.3
855,67.0,12.0,33.0,55.0,7.28,54.6,34.3,10,3.3,11.3,84.5
857,3.0,9.0,40.0,51.0,7.37,20.2,17.8,54,1.5,69.4,300.2
859,8.0,17.0,36.0,46.0,7.46,67.4,45.1,141,2.6,76.4,380.0
862,20.0,29.0,19.0,52.0,7.28,26.0,52.8,56,4.6,9.9,456.8
879,16.0,17.0,23.0,60.0,7.11,27.4,78.4,23,8.1,49.4,143.8
880,4.0,25.0,16.0,59.0,6.85,51.1,46.5,3,4.7,57.9,309.7
895,46.0,12.0,31.0,56.0,6.73,11.76,30.6,0,3.5,7.2,71.4
920,24.0,26.0,15.0,59.0,6.82,28.7,23.8,2,2.8,107.8,271.5
922,53.0,25.0,25.0,50.0,7.49,21.7,61.8,149,5.6,10.9,353.9
926,9.0,11.0,40.0,49.0,7.36,16.39,42.5,175,2.4,4.9,65.3
931,25.0,12.0,59.0,28.0,6.93,47.6,21.2,5,2.4,8.3,205.5
932,6.0,34.0,11.0,55.0,6.5,20.3,9.2,1,1.4,34.5,133.6
936,5.0,33.0,15.0,52.0,6.65,11.47,25.8,0,2.6,0.0,178.6
937,4.0,37.0,13.0,50.0,7.2,41.1,25.6,17,2.7,6.4,98.3
938,5.0,36.0,15.0,49.0,7.1,12.09,9.8,1,1.3,0.0,51.1
941,34.0,16.0,37.0,47.0,7.18,44.3,47.7,280,3.5,8.5,53.9
944,11.0,29.0,19.0,52.0,7.48,43.2,46.5,221,4.0,8.6,238.4
947,2.0,16.0,35.0,48.0,7.2,66.8,28.7,22,3.2,8.9,150.7
967,6.0,15.0,32.0,53.0,7.44,32.0,56.1,166,4.8,16.1,217.1
968,15.0,25.0,28.0,48.0,7.03,35.6,85.4,69,5.0,16.7,373.2
972,25.0,37.0,8.0,55.0,6.56,25.0,11.7,1,1.7,64.0,275.3
973,37.0,23.0,22.0,55.0,7.43,34.9,88.8,142,5.9,16.2,299.0
978,52.0,21.0,18.0,61.0,7.23,68.9,111.5,49,11.7,16.4,246.3
979,63.0,22.0,29.0,49.0,7.25,32.2,92.5,20,5.7,12.3,390.6
980,25.0,25.0,19.0,57.0,7.13,46.6,47.1,8,4.7,39.4,532.2
981,42.0,34.0,14.0,52.0,7.18,30.8,47.4,5,4.5,6.6,410.7
984,77.0,11.0,38.0,51.0,7.43,48.7,104.8,260,11.7,14.7,132.6
991,34.0,19.0,17.0,64.0,7.38,15.31,92.6,10,9.8,10.3,188.6
992,74.0,29.0,19.0,52.0,7.25,23.4,57.5,21,5.8,21.3,400.0
993,70.0,27.0,19.0,53.0,7.38,50.1,75.2,182,7.0,16.2,375.2
994,58.0,22.0,23.0,55.0,6.82,51.6,72.5,6,7.4,14.7,471.4
998,8.0,24.0,29.0,47.0,7.05,55.7,40.6,49,2.9,11.0,129.9
1000,28.0,21.0,31.0,48.0,7.14,20.8,37.9,44,2.5,12.7,204.3
1005,16.0,11.0,29.0,60.0,6.94,30.1,149.3,24,13.8,93.7,523.4
1011,76.0,22.0,32.0,46.0,7.47,34.5,67.1,384,6.3,10.2,194.7
1012,20.0,24.0,23.0,52.0,7.31,65.7,52.2,124,4.8,7.5,193.2
1013,83.0,20.0,28.0,51.0,7.23,55.5,104.7,226,7.7,53.2,415.9
1020,66.0,28.0,12.0,60.0,7.0,75.2,55.1,2,5.7,14.9,205.5
1022,77.0,20.0,24.0,56.0,7.32,37.4,37.9,14,3.5,8.0,187.5
1024,30.0,37.0,12.0,51.0,7.03,34.1,39.7,3,4.2,6.0,447.0
1028,8.0,20.0,23.0,56.0,6.68,36.6,34.9,2,3.1,7.1,236.8
1033,3.0,23.0,24.0,54.0,7.38,26.6,55.3,409,5.1,19.4,548.5
1034,4.0,23.0,20.0,57.0,7.36,19.65,44.4,286,3.7,7.9,300.0
1035,11.0,24.0,18.0,58.0,7.33,65.1,42.3,39,4.8,14.3,112.0
1036,3.0,39.0,16.0,46.0,7.3,21.8,24.5,6,2.9,9.2,570.1
1044,7.0,21.0,45.0,34.0,6.95,34.8,14.3,4,1.5,8.3,329.0
1045,17.0,14.0,23.0,63.0,6.61,55.2,92.5,6,9.7,10.1,310.4
1047,7.0,13.0,42.0,45.0,7.13,71.4,41.0,55,3.8,12.9,165.3
1048,11.0,23.0,24.0,53.0,7.33,40.3,39.7,77,4.3,11.2,239.0
1049,29.0,23.0,31.0,46.0,7.38,64.7,67.2,362,6.4,13.3,338.6
1062,6.0,28.0,19.0,52.0,7.28,40.1,62.3,48,4.3,11.2,331.3
1063,11.0,14.0,41.0,46.0,7.06,47.2,125.7,359,7.9,44.2,99.3
1073,2.0,8.0,66.0,26.0,7.33,14.31,12.0,10,1.5,43.5,132.7
